DATE,GOOG,NVDA,AMZN,RPD,SPLK,PYPL,AAPL,SNPS,MU,MSFT
2/29/16,-0.003647838,-0.007940331,-0.002675055,-0.03475396,0.049845767,0.017722987,-0.001756652,-0.009120295,-0.0018797,-0.009195017
3/1/16,0.021358629,0.040821995,0.040081819,-0.006708933,0.038116735,0.018773857,0.029066533,0.026055791,0.027474256,0.031098595
3/2/16,-0.000208645,0.011296105,-0.002650695,0.052914621,-0.023080484,-0.001020929,0.002384976,0.004805601,0.059074027,0.010250659
3/3/16,-0.008748571,-0.007627802,-0.000813536,0.014174582,0.024795565,0.001538856,0.009105368,0.004588668,0.005102052,-0.011773778
3/4/16,-0.00575085,-0.010695289,-0.010257742,0.036518009,-0.013102969,0.00694001,0.00623237,0.007383313,0.006756782,-0.007086116
3/7/16,-0.016747178,-0.000927214,-0.018903356,0.050142429,0.01597616,0.005144044,-0.005091561,0.003909649,0.010416761,-0.010332483
3/8/16,0.007782703,-0.008155629,0.004275001,-0.022854406,-0.01922296,-0.013793322,0.002477579,-0.003500332,-0.070617567,0.016593841
3/9/16,0.009645942,-0.009410358,-0.000160854,-0.060092326,0.023988184,0.002336146,-0.001877193,-0.001527884,0.004636077,0.018142386
3/10/16,0.006615363,-0.007547206,-0.013876403,-0.038329745,-0.023580943,-0.004407006,-0.002369435,-0.007441488,-0.006413215,-0.016765491
3/11/16,0.009427642,0.002174927,0.0046808,0.03308996,0.032643848,0.012485829,0.000195599,0.007168489,0.035750009,0.001319883
3/14/16,0.005050446,0.007146217,0.011171929,0.002764342,-0.004022446,-0.000507743,0.005967831,0.004554828,-0.0168968,0.008689137
3/15/16,0.001937812,0.000311187,0.010487718,-0.089612159,-0.012497469,0.005617992,0.005946119,0.010614201,-0.027274418,0.015798711
3/16/16,0.013292867,0.036927273,-0.004118486,-0.026119411,0.041623765,0.019004753,0.012916886,0.013339268,0.000933271,0.016697976
3/17/16,0.001804332,-0.004863231,-0.017840059,0.024478127,-0.004853866,0.002005516,0.002650011,0.006809986,0.013895545,0.008266787
3/18/16,-0.005758874,0.017905581,-0.015920985,-0.020313198,0.003565814,-0.011353724,-0.003957416,0.016034099,0.027299238,-0.02638286
3/21/16,0.007561294,0.011866054,0.009194091,0.044726036,-0.001889764,0.042961293,-0.000188822,0.000420256,0.0344101,0.011390283
3/22/16,0.004451337,0.001478197,0.02780595,0.000761905,0.017965806,0.015855924,0.01387011,0.010484474,-0.000873744,0.008543886
3/23/16,-0.005809179,0.012567753,0.015266122,-0.028829422,-0.021411397,-0.013238732,-0.003292416,-0.005868807,-0.070681586,-0.002590675
3/24/16,0.004484404,0.010495723,0.027548131,-0.000793966,0.020300972,-0.012257559,0.001894478,0.012824732,0,0.006848708
3/28/16,-0.004434416,0.011841294,-0.007781739,0.030530747,-0.007849833,-0.001805287,-0.007670855,-0.002513617,-0.011494379,-0.012436355
3/29/16,0.013762925,0.020266142,0.023356911,0.003108006,0.043030866,0.020187219,0.026251684,0.013557409,0.026176967,0.019378663
3/30/16,0.000573093,0.006734032,0.003312702,0.034262963,-0.006153866,-0.022791566,0.008340638,-0.006420235,-0.002858506,0.002182216
3/31/16,-0.005755604,-0.008106264,-0.00945586,-0.02568117,0.014202153,-0.003620382,-0.006675531,0.004966898,0.015399727,0.005082603
4/1/16,0.015196697,0.020682682,0.013473824,0.072069797,0.018364115,0.022847868,0.011061959,0.021329767,0.070418573,0.009401624
4/4/16,-0.006379799,-0.017993565,-0.009746846,-0.040049036,0.001217039,-0.014587591,0.006319422,-0.007127614,-0.023788862,0
4/5/16,-0.000271039,0.007581112,-0.007868102,-0.042200354,-0.003948878,0.005201572,0.00273573,-0.001650846,-0.021874386,-0.011480764
4/6/16,0.013392394,0.014064929,0.024480039,0.023383762,0.026608201,0.018297122,0.006600684,0.003299652,0.004786989,0.013884037
4/7/16,-0.006852246,-0.003943667,-0.012317517,0.00554018,-0.010075134,-0.01478051,-0.012906948,-0.001867802,0.008600149,-0.007500264
4/8/16,-0.006499834,-0.001681144,0.000471016,-0.012509936,0.006080278,-0.005193468,-0.002298112,-0.005787532,0.007490672,-0.00458338
4/11/16,-0.009356983,0.000278746,-0.000352328,0.008563696,-0.012642909,-0.007069018,0.000458737,-0.010804177,-0.028303776,-0.003308827
4/12/16,0.006873343,-0.00445435,0.007939654,0,-0.019067935,-0.01366285,0.010010094,-0.002714839,-0.032884975,0.005136683
4/13/16,0.003411335,0.020347141,0.011681114,0.040509933,0.027393373,0.014018921,0.011129176,0.003529538,0.054782346,0.004164032
4/14/16,-0.001074834,0.005443672,0.009192342,-0.022711044,0.001012248,-0.007733991,0.004291085,-0.002491696,-0.036813973,0.002532105
